Gene_Human		d3	d6	d10
ANGPTL1	551.1883556	75.90307451	139.7407834	62.48534519
ANGPTL2	2.865873844	5.223425633	15.34701289	5.794403172
ANGPTL3	48.65324093	12.40402661	12.24789428	4.738310907
ANGPTL4	0	4.658765419	13.87175485	6.173105128
ANGPTL6	0	193.9950898	338.1042234	121.6522086
ANGPTL7	24.14189484	26.70244275	45.60023134	20.89829394
ANKAR	82.03132271	16.77553992	12.14198416	8.505439194
ANKFY1	34.13010994	39.61810566	42.45675987	30.96916644
ANKH	0	14.36272248	38.93714639	26.96436076
ANKHD1-EIF4EBP3	13.68209431	12.47762865	15.14126495	9.010128264
ANKLE2	17.76444151	17.88856604	18.89684012	15.40851375
ANKMY1	0	7.598703151	28.98408199	37.37028733
ANKRD12	4.175575687	1.241303212	1.415164276	10.19560804
ANKRD13A	14.13206514	11.98303123	11.51976915	13.05432788
ANKRD13C	15.37796355	2.70464899	8.206617692	6.123206945
ANKRD22	1.06041394	2.81913305	1.590146202	3.020815153
ANKRD23	0	0	32.09312631	33.35203716
ANKRD37	106.542082	9.887827149	22.40470931	27.08499445
ANKRD42	32.84912868	8.18846887	14.32166032	5.754987866
ANKRD53	0	0	11.74435041	10.69083473
ANKRD6	90.85328445	21.48867787	19.90464551	18.16245247
ANKRD61	9.412175741	26.40283545	40.0240321	23.7579816
ANKS3	0	3.347310822	28.45758784	14.26295306
ANKZF1	2.426215334	12.71570606	16.10156916	29.01170355
ANO9	0	0	11.31656372	3.900284271
ANP32A	0	5.032183666	9.43626154	11.915299
ANP32B	7.768779977	58.92475521	21.00467002	96.66843109
ANP32E	6.424887857	6.779987376	4.847982774	26.14635012
ANTXR2	0	3.953437739	11.42729712	14.17504112
ANXA1	0	8.885576346	0	47.60627327
ANXA10	5.873197662	32.95073865	117.2307377	0
ANXA11	0	0	5.134629209	22.4328286
ANXA2	0	18.66447471	0	43.33034336
ANXA2R	0	23.92387996	58.88845625	33.51433757
ANXA5	0	3.974936641	2.452758305	11.81864765
ANXA6	0	5.378021682	1.463676218	22.60178965
ANXA9	5.568923664	39.75394297	44.38923889	22.662968
AP1AR	48.67434311	8.897589193	31.74019222	4.681750847
AP1G2	0	67.33034294	113.193098	68.72506124
AP2M1	0	0	0	15.0087292
AP3B1	3.139764202	4.200210599	0	10.50162316
AP3D1	0	8.483166286	3.13581393	12.26793412
AP3M1	36.29399273	19.77335716	30.01821298	13.84903049
AP4M1	0	16.59852259	35.09788942	20.75438156
APBB1	0	4.895287356	12.21502349	12.50342594
APC	14.82249232	4.654987621	5.137956433	4.564033939
APC2	0	4.112544996	13.91763091	9.129151205
APCDD1	14.06284495	20.3688367	33.76081827	23.55782539
APEX1	52.76961663	72.62442397	119.2676571	46.02099112
API5	57.10350586	10.07667848	10.64464205	7.367812673
APLP2	0	12.00836407	1.789697084	19.62590359
APMAP	50.08725254	121.3693664	128.3266614	72.77559572
APOA2	0	51.57109856	138.0135789	18.22249941
APOBEC2	178.232877	74.07038231	70.87889756	62.28215058
APOBEC3A	0	14.6616688	8.675133811	0
APOBEC3C	0	11.82876127	3.521800863	9.243993831
APOBR	0	13.79989263	41.41001618	5.626329678
APOD	19.60668481	58.75075336	121.2659786	48.00235327
APOL2	0	13.68758725	7.005761228	7.989409545
APOL5	0	0	6.271536545	3.73650373
APOM	8.414161947	39.95643328	53.12737557	27.2674587
APPL2	90.37216559	34.100736	54.11799853	20.91242873
APRT	0	3.873838321	47.89976811	50.69852475
AQP11	103.2856631	7.48540393	14.16164543	3.507241665
AQP7	3.381108229	13.5084986	22.18317869	12.52035873
AQP9	12.03075104	9.149832124	20.68310948	4.294439556
ARF1	0	22.00832921	25.97697504	34.66589656
ARF4	405.6038569	72.48748288	95.05838522	39.93440024
ARF4	59.19236166	12.29964115	17.28180017	7.280830334
ARF6	0	0	9.05670948	29.96080438
ARFGAP2	0	16.88341967	29.7371695	30.09758212
ARFGEF1	21.30654534	5.107981503	4.695185228	6.607293845
ARG1	125.2605622	53.87628948	50.68617509	12.75692902
ARG2	646.7317108	506.5762694	594.9903148	279.0642919
ARGLU1	11.53276269	53.9977213	21.46791183	88.16875224
ARHGAP1	0	19.3367474	31.1659306	14.57825828
ARHGAP15	0	9.530251974	0	27.23213514
ARHGAP27	0	4.225705048	5.954215963	8.613803439
ARHGAP30	6.067352957	100.6878997	31.29208436	72.59350555
ARHGAP4	0	2.724256802	3.459947786	13.95402278
ARHGAP45	0	7.922810771	6.696142302	30.26496303
ARHGAP9	3.423606915	16.23281625	34.1029718	21.30030134
ARHGDIA	0	8.132745767	18.21400253	16.23913886
ARHGDIB	3.85668958	30.75927423	20.89972628	119.6940627
ARHGEF1	1.329516222	6.369446829	28.19732085	16.57094761
ARHGEF2	1.945116488	25.88833085	31.15960953	19.43568675
ARHGEF33	142.1788441	28.09375979	46.08716851	17.61315027
ARHGEF38	7.957429914	1.946138704	3.048416448	0
ARHGEF39	0	8.195231392	9.346398195	8.352702275
ARHGEF40	0	6.533751091	11.22967204	19.91349882
ARHGEF6	32.48046801	14.70207312	10.67140008	18.52270534
ARID2	34.72651341	8.253525865	11.49094049	6.52806323
ARID5A	0	8.469382776	33.16523855	12.13135346
ARID5B	8.669263975	7.692179375	6.185058203	2.899623585
ARIH1	0	0	8.938217195	15.48139152
ARIH2OS	0	0	50.83217243	100.4515902
ARL1	6.487928928	8.787453138	11.00988354	9.31506391
ARL13A	14.61229875	8.254051313	10.47623033	0
ARL13B	47.46766349	9.198977846	5.327944434	3.923535085
ARL14EPL	22.65157191	0	5.055185795	3.02878726
ARL2BP	2.733236411	9.820792535	6.033550923	4.33768601
ARL3	2.891704911	9.800626636	10.38333524	6.675340337
ARL4C	0	0	25.60838403	31.22385295
ARL6IP4	0	35.17998078	15.29767724	58.23425984
ARL6IP5	2.558565926	6.80200202	0	20.69227513
ARL6IP6	0	4.269631043	11.12409325	20.0051033
ARMC10	15.54197172	6.753367867	5.906525473	3.459169084
ARMC5	0	39.59619659	57.3433529	37.71525201
ARMC7	0	8.127552443	13.13975952	5.983015187
ARNTL	78.52571063	29.83940539	33.48981789	11.98377995
ARPC1B	10.08557978	26.98391111	26.08906197	54.72491885
ARPC2	6.405118971	8.568429621	7.217983382	61.20946069
ARPC3	10.4501188	22.05538062	16.21922407	0
ARPC3	5.489619371	0	6.662734573	41.15051575
ARPC4	0	4.73022375	4.778245061	12.22329127
ARPC5	3.008810278	14.26608415	5.106722226	23.31581476
ARR3	0	5.39887481	15.02504105	12.60523747
ARRDC1	2.520940329	53.4396537	96.12891404	45.49429817
ARRDC3	11.05699539	6.264342996	6.398692766	7.817019843
ARSB	31.58147676	23.34904472	18.46242002	14.65638864
ARSJ	16.07908991	5.049620729	7.927467756	2.365969877
ART3	42.72708673	11.43160766	11.25446047	8.166286832
ARV1	3.918794551	4.792073466	15.12139549	0
ARVCF	37.21299045	154.1881158	189.4405794	131.7920907
ASAH1	5.174623491	5.60693706	0	9.951738546
ASAP2	34.72195389	10.46025179	12.39421203	5.036410204
ASB14	272.0441498	172.6051213	206.4904942	126.6329169
ASB16	0	4.67244755	20.83834676	18.25722717
ASB6	0	57.90040788	85.30675837	61.33145395
ASF1A	751.3600329	126.8384152	162.6626199	100.6569339
ASF1B	0	3.73972746	10.53376511	11.48445571
ASH2L	1.279595517	11.6697685	7.924091982	8.240861573
ASPN	4.725018232	0	14.00752808	0
ASRGL1	0	14.09958864	8.427181067	12.03667614
ASTE1	133.1688219	198.2340234	194.0237599	127.4863273
ATAD1	5.58745884	4.558429364	2.500148126	2.792261751
ATAD5	140.0569775	27.14228884	30.73263454	17.83293072
ATAT1	1.576212276	14.16919682	18.31224865	11.57243813
ATF4	0	12.03951417	21.79864565	36.54265428
ATF7IP	21.1982641	5.606926269	14.68173014	4.824581514
ATG12	0	10.35920421	13.06022414	7.959193026
ATG14	140.927075	89.00606454	93.58595136	40.11932064
ATG16L2	0	35.97130762	95.86971334	61.83516378
ATG3	3.609832614	17.11579365	5.488088626	20.35211804
ATG4D	0	69.04449377	145.5430074	80.79883791
ATG7	0	4.455583403	12.89185298	4.541197173
ATL1	279.4179417	79.67288376	81.36477306	64.9985663
ATM	14.47905662	3.325586117	3.238460492	7.233963983
ATN1	1.055286006	21.79847886	34.97728923	23.22056053
ATP1A1	0	5.01762428	7.408247712	9.08774542
ATP1B1	42.74651813	41.67462729	47.76723089	27.25500518
ATP2A1	0	6.437943923	5.920315128	8.120041113
ATP2B4	3.267712649	2.319535491	4.82785515	9.992753848
ATP2C1	25.32272945	27.15652395	22.18606229	20.12111402
ATP5F1A	0	3.243564507	0	19.88312382
ATP5F1C	0	4.622718665	0	12.5587593
ATP5F1D	0	0	5.845503574	13.32510908
ATP5F1E	11.93614487	21.18172146	0	68.43947726
ATP5IF1	0	8.384411869	0	19.40019261
ATP5MC3	5.288779638	0	3.209487995	3.303750756
ATP5MD	134.3485116	28.06706869	19.98164054	25.41704607
ATP5ME	0	0	0	78.43905035
ATP5MF	0	20.56850103	0	0
ATP5MF	0	0	0	17.71690533
ATP5MF	0	20.80223399	42.87320652	0
ATP5MF	0	19.87697148	0	18.62647446
ATP5MF	0	70.31904489	38.53775046	20.70586029
ATP5MG	7.077546554	7.421337533	0	12.78490195
ATP5PB	0	8.642891455	20.19375284	20.17933423
ATP5PD	0	0	0	11.17588468
ATP5PF	0	7.412222607	25.81947696	19.82016923
ATP5PO	6.554924218	0	0	24.89746524
ATP6AP2	40.03199357	7.920850636	7.807875164	9.563978232
ATP6V1C2	975.2542244	596.1260118	773.7325341	412.8904255
ATP6V1D	10.97245551	5.479763951	6.752414936	7.255602826
ATP6V1E1	0	0	3.111175066	14.6216975
ATP6V1F	0	7.92723653	19.7524146	10.90740443
ATP6V1FNB	0	12.14479688	15.41445341	12.40797994
ATP6V1G1	0	22.60340606	3.878906377	36.50416279
ATP6V1G2	0	0	57.99626935	74.7235695
ATP6V1H	4.210484761	5.63256397	6.444541132	4.548253292
ATP8B1	45.80268584	19.85138561	29.53109303	13.64646301
ATP8B2	3.801266113	5.362305448	8.17245703	8.662973461
ATRAID	0	0	13.78643666	13.56791891
ATRIP	0	0	12.40461659	1.886672489
ATXN2	6.57825135	7.733079805	16.9281919	7.060884743
ATXN7	10.55233609	6.506400997	5.890218152	4.453432064
ATXN7L3	0	8.817958629	15.70146165	11.05929169
AUNIP	62.97601223	23.73472657	38.6136413	15.79751504
AUP1	3.159780913	32.22314139	65.32972512	66.05920802
AURKA	383.7096458	459.4250454	257.9617834	273.158638
AVIL	48.44144305	61.00012554	66.24256201	41.01893473
AVL9	7.465441348	6.302441285	6.890096264	11.29005522
AVPI1	0	8.919729746	24.38343323	12.49541606
AVPR2	0	17.26967045	84.16887723	33.08233457
AZI2	254.9505043	38.00020602	50.74407207	21.78327566
B2M	103.3163363	348.0924534	26.5489592	1141.288183
B3GALNT2	365.2804427	157.1705033	194.0613245	92.7741058
B3GALT2	163.296337	65.19334619	98.74539898	33.54903349
B3GAT2	1066.722081	338.4475093	351.5685915	192.3684486
B3GNT4	0	18.26058772	36.26819125	29.4905761
B3GNT8	0	0	13.52360623	15.84728215
B4GALT3	0	15.52447125	22.47034348	15.93037128
BACE1	31.26723811	47.39341784	61.09963651	39.07991621
BAD	0	0	49.24464525	32.33687341
BAG2	20.19272281	5.213311775	2.038461463	2.323385915
BAG3	70.92163215	62.43800476	68.36898186	32.13111207
BAG4	23.91274339	18.7032122	21.76027037	12.31007099
BAG6	4.889040327	12.38541747	27.68684922	18.20802284
BAIAP2L1	4.777812694	2.329003297	10.25451468	1.79631413
BAIAP3	0	23.0968938	50.70336796	42.41617769
BANK1	0	5.835581783	2.589632882	25.01224819
BASP1	0	7.758993255	97.32530729	161.0064718
BAZ1A	5.687659583	12.26179877	5.235487528	19.24167431
BBC3	0	2.584371658	13.01388039	3.059661877
BBOF1	36.6763617	7.432985135	11.31256805	7.873446876
BBS1	0	15.90909657	25.87760737	17.13443129
BBS4	6.072531113	16.51388996	36.11590035	7.586676182
BCAS2	29.07523595	5.250720761	9.338718253	6.957476571
BCAS4	0	7.988057854	12.04320785	3.080515432
BCCIP	98.04347358	28.54679269	34.31405948	20.39269577
BCKDHA	5.247360192	43.48412956	46.11263096	25.48018421
BCL2	3.140711626	11.14692886	9.749153391	10.22500596
BCL2L1	0	3.947812384	12.54712953	8.803499483
BCL2L11	15.54765642	8.034805815	18.32633712	7.785977231
BCL2L13	95.63143237	85.66298488	157.8997512	66.6889766
BCL6	0	8.799182494	20.88958761	2.604358697
BCL6B	8.257573173	10.20549582	18.55893037	9.614338501
BCL9L	19.1727625	30.61762599	37.8621997	27.72279094
BCLAF1	15.50394984	35.38602854	34.93290872	29.10907917
BCO1	0	0	42.35007692	0
BCS1L	0	27.73645047	48.26996166	19.81381945
BDH2	13.89557807	8.662128982	7.041892897	11.76640855
BEND6	50.37616884	4.221475	17.86960468	9.413758651
BEST1	68.44775521	99.16521818	152.2381353	37.02302862
BHLHE40	0	9.187527637	10.47808019	11.17969969
BHLHE41	7.183104436	10.98789107	23.91632355	15.5186779
BHMT	2.132187633	22.2357076	8.147935276	9.491199282
BID	3.55650039	4.259620858	9.175323193	8.505439194
BIK	8.601915974	36.81579747	32.6137113	42.98698505
BIN1	0	7.559242635	4.347056005	9.67247259
BIN2	1.816359259	10.76519107	2.386368881	19.55882543
BIN3	0	6.163938893	24.53902128	5.776154101
BIRC2	11.46861986	9.015992748	13.05138812	9.823542071
BIVM-ERCC5	8.879724323	4.654267636	1.426045927	7.471326958
BLNK	54.11655269	36.48130516	22.80963852	9.248272312
BMP2K	75.91359359	27.8065305	28.82171377	19.40409057
BMP8B	0	5.127682499	33.29417443	36.83224973
BNIP3	46.92782398	25.67369047	40.66180501	18.2237007
BNIP3L	4.726881273	5.743568197	2.156503906	17.07730586
BNIPL	4.890256172	31.79287375	52.51234365	28.08480135
BOLA2B	0	36.81869148	303.1747744	345.0235953
BOP1	0	7.133267993	36.23027452	21.19360987
BORA	90.5071159	20.17927266	29.02875083	4.570448041
BORCS7	0	8.340594446	11.78199332	11.10277515
BORCS8	0	4.480499271	13.04172595	10.67850773
BPHL	34.92883294	87.49424242	171.7332322	88.52158038
BPIFC	100.490328	59.91754098	85.55686093	29.57345103
BPTF	1.183589706	4.719897673	4.459049793	12.06905992
BRAP	14.21195402	3.456727441	4.0105132	5.871913756
BRCA2	22.46708743	4.072447539	4.559788091	2.47774713
BRCC3	12.38557478	0	38.84274411	7.577833902
BRD2	1.056253128	7.749795286	7.061530576	14.61478551
BRD3OS	0	0	21.37161394	13.84218536
BRD7	825.4457348	1333.547186	1394.266063	655.0515775
BRICD5	0	33.29380788	129.5396636	91.80534592
BRIX1	28.17846719	12.65967177	14.62523883	13.6347325
BRSK1	30.79579299	4.766946489	5.67709023	2.105483547
BRWD1	122.0441186	24.21258172	20.38002175	10.4452762
BSCL2	0	13.45284844	24.07954874	24.02545256
BSPRY	0	8.035193892	5.052205232	1.990914866
BTBD1	10.90365584	7.619124289	6.682445345	3.80339005
BTBD10	17.697707	2.853174239	8.509273288	4.134055429
BTBD11	8.651368311	5.863175901	6.713128683	5.226014055
BTBD18	16.37464268	53.40985478	55.47316707	27.8966597
BTBD2	0	11.65971704	64.61581051	24.26742107
BTBD6	3.084443139	21.87871596	64.28360668	20.50228549
BTBD9	0	7.449661765	8.3425351	5.821795354
BTF3	4.549090178	4.639118345	5.521217111	17.38905133
BTF3	10.64245228	0	0	10.1702836
BTF3	11.11999821	0	0	20.21544326
BTG2	1.804493469	5.71268007	3.799471814	17.62430812
BTN3A2	2.421911884	6.43870434	0	16.09844197
BUD31	4.549090178	48.4365239	76.48028997	56.51125201
BYSL	18.19636071	121.9425393	190.9179298	86.94525666
BZW1	31.4011882	14.36272248	7.24304188	13.92205852
C10orf55	0	0	19.89916107	0
C11orf42	0	21.29675516	32.23308702	13.5977808
C11orf49	2.369942722	203.5749417	343.5382714	210.7317238
C11orf52	0	2.891355549	7.336295249	6.385326067
C11orf65	104.0424741	12.33277071	14.0651289	8.81004195
C11orf68	0	250.1263138	370.0691617	202.4506811
C11orf71	0	14.50041362	17.25757479	12.92462766
C11orf80	0	4.416657368	30.9026249	20.25685662
C12orf29	290.5612295	27.49430253	35.74046656	15.72088309
C12orf57	0	12.01619182	15.15563262	14.72101469
C12orf71	4.895728282	0	26.01551818	6.116445426
C12orf73	102.5886055	45.60163144	50.91862822	16.87719753
C12orf76	36.87751991	1213.406906	1002.495161	404.8317628
C14orf178	0	44.64869735	32.53127271	11.47888542
C15orf40	123.0540687	218.4975742	230.1654305	158.2975303
C15orf61	32.81310948	6.925333889	10.01231433	5.965212764
C15orf62	0	0	14.61424957	26.87735069
